id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h,historical_trends,sentiment_score,macroeconomic_indicator
,TRX,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.2203,10000000.0,31792.770382012342,0.5,1.0
,LINK,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 18.36,10000000.0,13787.684578739778,0.5,1.0
,AVAX,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 33.92,10000000.0,33264.15944092577,0.5,1.0
,HBAR,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.2648,10000000.0,22647.402413878386,0.5,1.0
,UNI,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 12.58,10000000.0,43537.377340615385,0.5,1.0
,WBTC,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,"$ 91,425.7",10000000.0,39899.38519891897,0.5,1.0
,SHIB,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.00002031,10000000.0,27292.036351510025,0.5,1.0
,ENA,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.7861,10000000.0,42103.52055517061,0.5,1.0
,ONDO,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 1.12,10000000.0,27542.543369123847,0.5,1.0
,CULT,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,,10000000.0,25175.252310033917,0.5,1.0
,DOT,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 6.15,10000000.0,17958.90036477414,0.5,1.0
,APT,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 8.28,10000000.0,22742.853537265997,0.5,1.0
,WBT,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 26.59,10000000.0,11354.90495865139,0.5,1.0
,LEO,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 9.23,10000000.0,17303.890248788626,0.5,1.0
,BCH,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 415.23,10000000.0,28734.62254830202,0.5,1.0
,MOVE,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.7951,10000000.0,47012.06753492941,0.5,1.0
,BGB,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 6.41,10000000.0,45198.61848774088,0.5,1.0
,JUP,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.7332,10000000.0,13294.998203998593,0.5,1.0
